day,wbtc_usd
2018-11-10,0.00
2018-11-11,0.00
2018-11-12,0.00
2018-11-13,0.00
2018-11-14,0.00
2018-11-15,0.00
2018-11-16,0.00
2018-11-17,0.00
2018-11-18,0.00
2018-11-19,0.00
2018-11-20,0.00
2018-11-21,0.00
2018-11-22,0.00
2018-11-23,0.00
2018-11-24,0.00
2018-11-25,0.00
2018-11-26,0.00
2018-11-27,0.00
2018-11-28,0.00
2018-11-29,0.00
2018-11-30,0.00
2018-12-01,0.00
2018-12-02,0.00
2018-12-03,0.00
2018-12-05,0.00
2018-12-06,0.00
2018-12-07,0.00
2018-12-08,0.00
2018-12-09,0.00
2018-12-10,0.00
2018-12-11,0.00
2018-12-12,0.00
2018-12-13,0.00
2018-12-14,0.00
2018-12-15,0.00
2018-12-16,0.00
2018-12-17,0.00
2018-12-18,0.00
2018-12-19,0.00
2018-12-20,0.00
2018-12-21,0.00
2018-12-25,0.00
2018-12-28,0.00
2018-12-29,0.00
2019-01-01,0.00
2019-01-02,0.00
2019-01-03,0.00
2019-01-06,0.00
2019-01-08,0.00
2019-01-09,0.00
2019-01-10,0.00
2019-01-12,0.00
2019-01-18,0.00
2019-01-21,0.00
2019-01-22,0.00
2019-03-27,2814.42
2019-03-28,4829.81
2019-03-29,3205.90
2019-03-30,4740.03
2019-03-31,4968.34
2019-04-01,3149.07
2019-04-02,3480.02
2019-04-03,4382.48
2019-04-04,3648.26
2019-04-05,3660.58
2019-04-08,3983.32
2019-04-10,3902.58
2019-04-14,3710.96
2019-04-16,5007.00
2019-04-17,3674.44
2019-04-21,4938.70
2019-04-22,6862.25
2019-04-23,6485.08
2019-04-24,7073.73
2019-04-25,4589.70
2019-04-26,3449.72
2019-04-28,4376.40
2019-04-29,4882.46
2019-05-04,6544.40
2019-05-05,4264.08
2019-05-07,6743.60
2019-05-08,6856.80
2019-05-09,5892.96
2019-05-10,5959.87
2019-05-11,6668.05
2019-05-12,5173.85
2019-05-13,5404.91
2019-05-14,5993.62
2019-05-16,7299.37
2019-05-17,6757.58
2019-05-18,6480.69
2019-05-23,6803.12
2019-05-24,5141.97
2019-05-28,5591.87
2019-05-30,5241.67
2019-05-31,5508.85
2019-06-04,3857.60
2019-06-05,5671.53
2019-06-06,6123.51
2019-06-07,7126.86
2019-06-08,6894.52
2019-06-11,7629.38
2019-06-12,10035.36
2019-06-13,7405.26
2019-06-16,8364.71
2019-06-17,8217.60
2019-06-18,7935.30
2019-06-19,9280.84
2019-06-20,9138.09
2019-06-21,8333.24
2019-06-22,9901.12
2019-06-25,9527.55
2019-06-30,9258.69
2019-07-03,10044.13
2019-07-04,10016.08
2019-07-05,9235.83
2019-07-08,12727.87
2019-07-09,9578.46
2019-07-10,11450.35
2019-07-11,10629.60
2019-07-18,8559.77
2019-07-21,12223.44
2019-07-22,10274.51
2019-07-26,10395.89
2019-07-27,11187.18
2019-07-28,10137.31
2019-07-29,11384.82
2019-07-31,10499.79
2019-08-03,11989.08
2019-08-04,12025.80
2019-08-06,9039.86
2019-08-08,10917.44
2019-08-09,11365.38
2019-08-10,11218.48
2019-08-11,15363.69
2019-08-12,10990.79
2019-08-13,14603.40
2019-08-14,7584.55
2019-08-15,9349.88
2019-08-16,7787.22
2019-08-23,9876.03
2019-09-06,9564.89
2019-09-11,10030.58
2019-09-13,10185.52
2019-09-14,10578.40
2019-09-15,10516.14
2019-09-16,10486.05
2019-09-17,10187.10
2019-09-18,10001.00
2019-09-19,10122.26
2019-09-20,9996.31
2019-09-21,10133.36
2019-09-22,10000.00
2019-09-23,9626.46
2019-09-24,8619.82
2019-09-25,8779.95
2019-09-26,7457.75
2019-09-27,10000.00
2019-09-28,7527.80
2019-09-29,7974.96
2019-09-30,9073.50
2019-10-01,8079.90
2019-10-02,8536.98
2019-10-03,7352.00
2019-10-04,7363.00
2019-10-05,7500.10
2019-10-06,7500.10
2019-10-07,7572.00
2019-10-08,8112.83
2019-10-09,8526.39
2019-10-10,8474.47
2019-10-11,7572.00
2019-10-12,8374.19
2019-10-13,8506.25
2019-10-14,7572.00
2019-10-15,7572.00
2019-10-16,7916.63
2019-10-17,8420.60
2019-10-18,8233.01
2019-10-19,7572.00
2019-10-20,7572.00
2019-10-21,8208.08
2019-10-22,7572.00
2019-10-23,7322.40
2019-10-24,7572.00
2019-10-25,7572.00
2019-10-26,9188.16
2019-10-27,9770.02
2019-10-28,8194.05
2019-10-29,9255.46
2019-10-30,8655.40
2019-10-31,9642.58
2019-11-01,8655.40
2019-11-02,8655.40
2019-11-03,8655.40
2019-11-04,8392.05
2019-11-05,8655.40
2019-11-06,9519.93
2019-11-07,8655.40
2019-11-08,8916.73
2019-11-09,8900.00
2019-11-10,9085.92
2019-11-11,8900.00
2019-11-12,9000.00
2019-11-13,8950.00
2019-11-14,8950.00
2019-11-15,8950.00
